logM,OH
6.543921687492738,7.174134427146143
6.854309357207098,7.394987689302763
7.135138758635593,7.457211191639367
7.452554388887444,7.695059132280209
7.7474774961249935,7.872008522114758
8.047996721345708,8.0064630124741
8.36257982232226,8.191904024123895
8.63784028426052,8.354696070702529
8.94820210126209,8.520308548812656
9.261387167077963,8.718497930871504
9.524008304023925,8.874212300157287
9.838588753440192,9.053987590366418
10.126480585689894,9.206860149915904
10.429806487473117,9.338480785219804
10.704995357283662,9.348298352900468
11.05886132389422,9.47140250801144
11.345242429671092,9.396230276741688
