ID,z_spec,logMstar_val,logMstar_err_plus,logMstar_err_minus,logSFR_SED_val,logSFR_SED_err_plus,logSFR_SED_err_minus,logSFR_Halpha_val,logSFR_Halpha_err_plus,logSFR_Halpha_err_minus,EBV_val,EBV_err_plus,EBV_err_minus,OH_strong_val,OH_strong_err_plus,OH_strong_err_minus
115322,3.204,8.68,0.17,0.05,0.49,0.05,0.08,0.48,0.06,0.06,0,0.15,0.15,8.08,0.15,0.15
117175,6.283,8.59,0.06,0.06,0.4,0.05,0.05,0.4,0.05,0.05,0,0.01,0.01,7.78,0.17,0.16
117563,3.89,9.19,0.06,0.06,0.95,0.08,0.12,0.64,0.1,0.1,0.02,0.08,0.08,8.24,0.15,0.16
118193,2.205,10.13,0.08,0.06,1.21,0.08,0.07,1.24,0.17,0.17,0.37,0.1,0.1,8.49,0.14,0.21
119429,2.911,8.96,0.05,0.05,0.73,0.08,0.11,0.66,0.11,0.11,0.18,0.1,0.1,8.04,0.23,0.24
119504,7.917,8.64,0.05,0.05,0.51,0.04,0.05,0.62,0.05,0.05,0,0.02,0.02,7.83,0.12,0.12
119533,3.667,8.92,0.04,0.03,0.72,0.06,0.07,0.44,0.04,0.04,0,0,0,8.14,0.16,0.19
120715,3.077,9.7,0.13,0.1,1.27,0.14,0.17,0.35,0.04,0.04,0,0.08,0.08,8.41,0.1,0.21
121806,5.225,8.75,0.04,0.03,0.63,0.03,0.03,0.94,0.05,0.05,0.04,0.04,0.04,7.9,0.15,0.13
122162,2.959,8.7,0.03,0.03,0.57,0.04,0.05,0.84,0.04,0.04,0,0.09,0.09,8.02,0.17,0.16
123597,3.798,9.06,0.12,0.05,0.9,0.09,0.05,0.84,0.07,0.07,0.18,0.07,0.07,8.18,0.14,0.16
123837,2.617,8.72,0.02,0.02,0.6,0.02,0.02,0.73,0.05,0.05,0,0.04,0.04,7.98,0.15,0.15
