ID,z,logMstar,OH,OH_e,OH_E
246882,0.7367,10.6,8.73,0.03,0.02
55210,0.7639,10.09,8.71,0.03,0.03
55866,0.7005,10.08,8.62,0.04,0.03
56919,0.687,10.11,8.75,0.03,0.02
58707,0.6623,10.21,8.66,0.03,0.03
59928,0.5994,10.23,8.67,0.07,0.06
65699,0.6622,10.59,8.76,0.02,0.03
67141,0.7267,10.57,8.69,0.04,0.03
69821,0.6903,10.56,8.8,0.02,0.03
128257,0.7262,10.35,8.73,0.03,0.02
206652,0.6925,10.49,8.74,0.03,0.02
207034,0.6886,10.05,8.62,0.04,0.02
206929,0.6952,10.88,8.82,0.03,0.02
