logM,logM_err_minus,logM_err_plus,logSFR,logSFR_err_minus,logSFR_err_plus,logO3,logO3_err_minus,logO3_err_plus,logO2,logO2_err_minus,logO2_err_plus,logO32,logO32_err_minus,logO32_err_plus,logR23,logR23_err_minus,logR23_err_plus,O_H_O_based,O_H_O_based_err_minus,O_H_O_based_err_plus,O_H_O3N2,O_H_O3N2_err_minus,O_H_O3N2_err_plus,O_H_N2,O_H_N2_err_minus,O_H_N2_err_plus
9.33,0.05,0.01,1.00,0.01,0.13,0.68,0.04,0.01,0.47,0.03,0.05,0.21,0.08,0.01,0.97,0.03,0.01,-1.22,0.05,0.08,1.90,0.12,0.05,8.27,0.02,0.02,8.29,0.03,0.04,8.34,0.03,0.04
9.62,0.01,0.03,1.06,0.05,0.11,0.56,0.01,0.04,0.51,0.03,0.05,0.05,0.04,0.04,0.91,0.02,0.04,-1.11,0.06,0.07,1.67,0.08,0.08,8.39,0.01,0.02,8.38,0.03,0.03,8.40,0.03,0.03
9.89,0.02,0.02,1.30,0.03,0.11,0.53,0.04,0.03,0.63,0.04,0.03,-0.11,0.04,0.04,0.95,0.03,0.02,-0.93,0.05,0.04,1.46,0.07,0.06,8.42,0.02,0.02,8.46,0.03,0.03,8.49,0.02,0.02
10.23,0.02,0.02,1.65,0.07,0.05,0.39,0.02,0.03,0.64,0.05,0.01,-0.25,0.02,0.05,0.88,0.04,0.02,-0.74,0.03,0.04,1.13,0.05,0.04,8.53,0.01,0.01,8.59,0.02,0.02,8.58,0.02,0.02
10.64,0.06,0.03,1.87,0.10,0.09,0.26,0.06,0.07,0.62,0.06,0.10,-0.36,0.11,0.10,0.82,0.04,0.07,-0.63,0.01,0.08,0.89,0.13,0.06,8.59,0.03,0.03,8.68,0.04,0.04,8.63,0.02,0.02
