ID,z,logMstar,OH
z1m1,2.08,8.18,8.11
z1m2,2.08,8.74,8.23
z1m3,2.08,9.12,8.32
z1m4,2.08,9.68,8.44
z2m1,3.33,8.17,8.09
z2m2,3.33,8.71,8.11
z2m3,3.33,9.04,8.18
z2m4,3.33,9.57,8.29
z3m1,4.40,8.14,8.06
z3m2,4.40,8.73,8.10
z3m3,4.40,9.35,8.22
z4m1,5.62,8.20,7.69
z4m2,5.62,8.71,7.94
z4m3,5.62,9.21,8.15
