ID,z,logMstar,OH
1449,5.92,7.44,6.98
7695,5.80,7.20,6.61
9770,6.29,7.14,7.01
20130,6.79,7.76,7.02
21782,5.81,6.81,6.86
24804,6.67,7.49,6.81
37141,5.76,7.64,6.98
