ID,z,logMstar,OH
g11,1.41,7.82,8.13
g12,1.22,8.23,8.27
g13,1.31,8.67,8.36
g14,1.36,9.22,8.50
g21,1.97,7.11,7.90
g22,2.02,7.94,8.05
g23,2.07,8.64,8.18
g24,1.90,9.12,8.36
g25,2.03,9.82,8.53
g31,3.08,7.10,7.78
g32,2.98,7.72,8.09
g33,2.86,8.25,8.11
g34,2.97,8.80,8.25
g35,3.03,9.57,8.40
