logMstar,OH,z
6.296660105415601,6.846057571964956,6.00
6.536035604566529,6.702127659574467,6.88
6.572033465552163,7.190237797246557,6.72
6.827200371472957,7.468085106382978,6.23
6.6066725576255685,7.018773466833542,6.87
6.728340100746815,6.993742177722153,6.75
7.1155892407323655,6.972465581977472,6.38
