ID,z,logMstar,re_kpc,SFR_Msunyr,NIIHa,NIIHa_err
125,1.606,10.12,1.8,11.9,0.23,0.05
126,1.606,11.26,14.2,5.6,0.26,0.05
127,1.61,10.49,3.1,6.1,0.19,0.06
128,1.613,10.23,4.7,12,0.2,0.01
129,1.614,10.61,5,32.4,0.25,0.05
130,1.615,10.78,1,394.2,0.73,0.01
131,1.644,9.92,3.4,14.3,0.19,0.03
132,1.651,10.15,1.6,29.1,0.14,0.01
133,1.655,10.09,2.9,23.7,0.17,0.01
134,1.656,10.04,3.5,11.5,0.12,0.02
135,1.656,9.89,4,57.2,0.13,0.01
136,1.663,11.4,3.9,10.2,0.89,0.09
137,1.665,10.77,6.6,19.4,0.31,0.03
138,1.996,9.79,1.2,52.8,0.17,0.02
139,1.997,10.89,5,182,0.28,0.01
140,1.998,10.08,2.1,10.1,0.33,0
141,2.001,9.93,2.7,25.8,0.17,nan
142,2.006,10.06,2.9,29.8,0.18,0.02
143,2.007,10.04,1.4,27.8,0.11,0.03
144,2.008,10.2,2.8,43.8,0.17,0.05
145,2.01,10.01,2.4,11.2,0.22,0.04
146,2.019,10.82,2.7,138.5,0.45,0.01
147,2.028,10.29,4,28.9,0.15,0.02
148,2.036,10.65,7.8,25.8,0.32,0.04
149,2.036,10.28,1.4,17.9,0.22,nan
150,2.06,10.9,2.4,61.2,0.38,0.04
151,2.061,10.97,3.5,28.4,0.65,0.1
152,2.063,10.75,4.2,81.8,0.25,0.02
153,2.087,10.06,1.8,16.4,0.14,nan
154,2.091,10.45,4.2,66.9,0.13,0.01
155,2.095,11.28,2.5,61.7,0.9,0.02
156,2.103,11.4,7,179.8,1.34,0.1
157,2.122,9.79,7.3,362.1,0.41,0.03
158,2.127,10.12,3,29.2,0.19,0.01
159,2.141,10.86,1.4,7.4,0.57,0.04
160,2.151,10.06,3.4,25,0.12,0.01
161,2.152,10.54,3.1,27.7,0.33,0.04
162,2.156,10.43,3.3,46.1,0.17,0.02
163,2.157,10.27,4.2,24.3,0.12,0.02
164,2.161,10.23,1.2,29.4,0.22,0.02
165,2.163,10.35,3.5,42.7,0.2,0.01
166,2.166,10.85,2.5,130,0.38,0.01
167,2.167,10.67,4.1,132.2,0.26,0.01
168,2.167,10.23,3.8,15.6,0.2,nan
169,2.167,10.94,1,34.6,0.98,0.21
170,2.171,10.03,2.5,29,0.12,nan
171,2.171,10.38,5,45.5,0.22,0.02
172,2.172,10.3,2.3,30,0.1,0.01
173,2.173,10.15,6.5,15.6,0.18,0.03
174,2.177,10.06,1.4,24.9,0.16,0.02
175,2.177,10.98,3.4,109,0.25,0.02
176,2.179,11.01,3,104.8,0.38,0.03
177,2.181,10.04,1.2,32,0.11,0.01
178,2.187,11,7.5,20.5,0.21,0.04
179,2.189,10.68,2.7,43.5,0.21,0.04
180,2.192,11.32,8.1,14.5,0.63,0.1
181,2.193,10.79,7.5,61.7,0.22,0.03
182,2.199,9.95,1.5,21.6,0.11,nan
183,2.215,10.37,3.9,20.3,0.32,0.05
184,2.219,10.11,4.2,24.2,0.1,nan
185,2.222,10.26,2.4,13.6,0.17,0.04
186,2.223,10.65,4.1,112.4,0.32,0.04
187,2.225,10.36,3.5,45.3,0.16,0.03
188,2.227,10.5,2.4,58.1,0.46,0.06
189,2.227,10.36,4.3,35.9,0.22,0.03
190,2.228,10.55,4.9,42.7,0.24,0.04
191,2.229,10.61,2.5,112.6,0.24,0.01
192,2.235,10.62,3.8,53.8,0.24,0.02
193,2.246,8.54,0.6,78.3,0.08,0.02
194,2.248,11.09,2.4,4.1,0.61,nan
195,2.249,10.6,1.6,97.3,0.18,0.01
196,2.254,10.65,3.4,108.4,0.29,0.01
197,2.257,10.12,2.6,24.2,0.18,0.02
198,2.29,11.28,2.5,397.8,0.45,0.03
199,2.298,10.29,3.6,50.6,0.11,0.02
200,2.298,10.27,2.7,23.5,0.22,0.03
201,2.3,11.28,3.3,15.6,1.16,0.18
202,2.301,10.83,1.8,17.4,0.51,0.05
203,2.301,10.23,1.9,11.1,0.23,0.05
204,2.302,10.96,3.5,15.4,0.31,0.04
205,2.302,10.61,1.9,70.2,0.24,0.04
206,2.306,10.28,1.8,22.6,0.1,nan
207,2.307,10.46,3.4,104.6,0.16,0.03
208,2.307,10.59,4.9,74.4,0.2,0.02
209,2.308,10.57,4.1,72,0.15,0.02
210,2.309,10.96,2.5,101.6,0.39,0.08
211,2.313,10.52,1.9,132.3,0.22,0.03
212,2.314,10.38,1.7,24.5,0.16,nan
213,2.318,10.3,2.6,30.2,0.08,nan
214,2.318,10.6,4.4,34.1,0.23,nan
215,2.321,11.12,5.3,58.3,0.44,0.13
216,2.329,10.69,5.6,59.4,0.11,0.02
217,2.359,10.57,2.5,93.9,0.28,0.04
218,2.38,10.99,6.2,55.6,0.43,0.08
219,2.381,10.19,1.6,49.1,0.15,nan
220,2.391,10.54,2.9,23.6,0.38,0.07
221,2.393,10.32,1.8,37,0.14,0.04
222,2.406,10.85,1.4,63.9,0.48,0.04
223,2.408,10.69,4.3,71,0.3,0.04
224,2.431,10.96,0.7,44.9,0.55,0.05
225,2.437,10.53,4,171.9,0.28,0.03
226,2.438,10.56,3,40.7,0.31,0.05
227,2.439,10.93,4.7,58.1,0.38,0.06
228,2.441,10.52,5.3,72.1,0.31,0.04
229,2.442,10.66,2.9,75,0.29,0.04
230,2.444,11.22,1.4,3.7,1.06,0.28
