logM,logM_err_minus,logM_err_plus,logSFR,logSFR_err_minus,logSFR_err_plus,logO3,logO3_err_minus,logO3_err_plus,logO2,logO2_err_minus,logO2_err_plus,logO32,logO32_err_minus,logO32_err_plus,logR23,logR23_err_minus,logR23_err_plus,O_H_O_based,O_H_O_based_err_minus,O_H_O_based_err_plus,O_H_O3N2,O_H_O3N2_err_minus,O_H_O3N2_err_plus,O_H_N2,O_H_N2_err_minus,O_H_N2_err_plus
9.23,0.09,0.02,1.27,0.06,0.14,0.74,0.04,0.05,0.29,0.04,0.11,0.45,0.10,0.06,0.97,0.02,0.04,8.16,0.03,0.04,,,
9.53,0.05,0.02,1.24,0.02,0.16,0.69,0.02,0.06,0.44,0.05,0.08,0.25,0.05,0.06,0.97,0.03,0.06,8.27,0.02,0.03,,,
9.82,0.03,0.05,1.57,0.08,0.15,0.65,0.07,0.03,0.50,0.05,0.07,0.15,0.09,0.03,0.96,0.05,0.03,8.32,0.03,0.03,,,
10.21,0.05,0.04,1.75,0.10,0.09,0.53,0.03,0.07,0.65,0.07,0.05,-0.13,0.03,0.09,0.95,0.05,0.05,8.45,0.02,0.02,,,
10.60,0.01,0.13,2.26,0.28,0.21,0.35,0.14,0.20,0.62,0.16,0.30,-0.27,0.17,0.13,0.87,0.11,0.25,8.56,0.06,0.07,,,
