ID,z,logMstar,OH
13882,6.107,7.99,7.54
45883,6.222,6.73,7.67
6170,6.437,7.60,7.84
12801,7.569,7.83,7.64
5381,7.549,8.15,8.05
10357,6.060,7.66,7.60
2864,6.489,7.10,7.33
45572,7.318,7.22,7.45
